wedding,n_people,n_tables,total_happiness,mean_happiness,median_happiness,min_happiness,max_happiness,n_lonely,seconds
./weddings/complete-suite/complete_002_002_1535681195.txt,4,2,4,1.0,1.0,1,1,0,0.003324745
./weddings/complete-suite/complete_002_002_1535681195.txt,4,2,0,0.0,0.0,0,0,4,0.003232311
./weddings/complete-suite/complete_002_002_1535681195.txt,4,2,0,0.0,0.0,0,0,4,0.003131878
./weddings/complete-suite/complete_002_002_1535681195.txt,4,2,4,1.0,1.0,1,1,0,0.003193595
./weddings/complete-suite/complete_002_002_1535681195.txt,4,2,4,1.0,1.0,1,1,0,0.003199832
./weddings/complete-suite/complete_002_002_1535681195.txt,4,2,0,0.0,0.0,0,0,4,0.003422179
./weddings/complete-suite/complete_002_002_1535681195.txt,4,2,0,0.0,0.0,0,0,4,0.003245047
./weddings/complete-suite/complete_002_002_1535681195.txt,4,2,4,1.0,1.0,1,1,0,0.003026531
./weddings/complete-suite/complete_002_002_1535681195.txt,4,2,0,0.0,0.0,0,0,4,0.003116067
./weddings/complete-suite/complete_002_002_1535681195.txt,4,2,0,0.0,0.0,0,0,4,0.003184371
./weddings/complete-suite/complete_003_003_1732138090.txt,9,3,4,0.4444444444444444,0.5,0,1,5,0.004571265
./weddings/complete-suite/complete_003_003_1732138090.txt,9,3,4,0.4444444444444444,0.5,0,1,5,0.003754545
./weddings/complete-suite/complete_003_003_1732138090.txt,9,3,0,0.0,0.0,0,0,9,0.004057617
./weddings/complete-suite/complete_003_003_1732138090.txt,9,3,10,1.1111111111111112,1.0,0,2,2,0.003752054
./weddings/complete-suite/complete_003_003_1732138090.txt,9,3,4,0.4444444444444444,0.5,0,1,5,0.003781199
./weddings/complete-suite/complete_003_003_1732138090.txt,9,3,0,0.0,0.0,0,0,9,0.004709932
./weddings/complete-suite/complete_003_003_1732138090.txt,9,3,6,0.6666666666666666,0.5,0,1,3,0.004121361
./weddings/complete-suite/complete_003_003_1732138090.txt,9,3,10,1.1111111111111112,1.0,0,2,2,0.0038993
./weddings/complete-suite/complete_003_003_1732138090.txt,9,3,0,0.0,0.0,0,0,9,0.004196235
./weddings/complete-suite/complete_003_003_1732138090.txt,9,3,4,0.4444444444444444,1.0,0,1,5,0.002697328
./weddings/complete-suite/complete_007_007_1773709613.txt,49,7,42,0.8571428571428571,0.0,0,2,19,0.015225595
./weddings/complete-suite/complete_007_007_1773709613.txt,49,7,38,0.7755102040816326,0.5,0,2,20,0.016055245
./weddings/complete-suite/complete_007_007_1773709613.txt,49,7,38,0.7755102040816326,1.0,0,2,23,0.014865293
./weddings/complete-suite/complete_007_007_1773709613.txt,49,7,30,0.6122448979591837,0.5,0,2,25,0.013966383
./weddings/complete-suite/complete_007_007_1773709613.txt,49,7,48,0.9795918367346939,1.5,0,3,18,0.015284625
./weddings/complete-suite/complete_007_007_1773709613.txt,49,7,30,0.6122448979591837,0.5,0,2,22,0.014307524
./weddings/complete-suite/complete_007_007_1773709613.txt,49,7,34,0.6938775510204082,0.5,0,2,21,0.014098847
./weddings/complete-suite/complete_007_007_1773709613.txt,49,7,34,0.6938775510204082,0.0,0,3,23,0.014049412
./weddings/complete-suite/complete_007_007_1773709613.txt,49,7,44,0.8979591836734694,1.0,0,3,22,0.01359414
./weddings/complete-suite/complete_007_007_1773709613.txt,49,7,28,0.5714285714285714,0.5,0,2,27,0.013779013
./weddings/complete-suite/complete_010_010_2788392332.txt,100,10,74,0.74,1.0,0,3,46,0.041707937
./weddings/complete-suite/complete_010_010_2788392332.txt,100,10,72,0.72,0.0,0,2,40,0.040279755
./weddings/complete-suite/complete_010_010_2788392332.txt,100,10,60,0.6,0.5,0,2,52,0.040499994
./weddings/complete-suite/complete_010_010_2788392332.txt,100,10,78,0.78,0.0,0,3,42,0.040377252
./weddings/complete-suite/complete_010_010_2788392332.txt,100,10,82,0.82,2.0,0,2,42,0.040471752
./weddings/complete-suite/complete_010_010_2788392332.txt,100,10,82,0.82,0.5,0,3,38,0.040181344
./weddings/complete-suite/complete_010_010_2788392332.txt,100,10,88,0.88,1.0,0,2,36,0.040424158
./weddings/complete-suite/complete_010_010_2788392332.txt,100,10,86,0.86,1.0,0,4,41,0.040628002
./weddings/complete-suite/complete_010_010_2788392332.txt,100,10,78,0.78,1.5,0,2,43,0.040166411
./weddings/complete-suite/complete_010_010_2788392332.txt,100,10,86,0.86,0.0,0,2,35,0.04017007
./weddings/complete-suite/complete_012_012_331179337.txt,144,12,118,0.8194444444444444,0.5,0,4,59,0.052130462
./weddings/complete-suite/complete_012_012_331179337.txt,144,12,134,0.9305555555555556,1.0,0,4,60,0.048806006
./weddings/complete-suite/complete_012_012_331179337.txt,144,12,130,0.9027777777777778,0.5,0,3,62,0.048522732
./weddings/complete-suite/complete_012_012_331179337.txt,144,12,120,0.8333333333333334,1.0,0,3,62,0.048720617
./weddings/complete-suite/complete_012_012_331179337.txt,144,12,118,0.8194444444444444,0.5,0,3,52,0.048402601
./weddings/complete-suite/complete_012_012_331179337.txt,144,12,130,0.9027777777777778,1.5,0,3,53,0.048632211
./weddings/complete-suite/complete_012_012_331179337.txt,144,12,106,0.7361111111111112,0.5,0,2,59,0.048522496
./weddings/complete-suite/complete_012_012_331179337.txt,144,12,136,0.9444444444444444,1.0,0,4,61,0.048489736
./weddings/complete-suite/complete_012_012_331179337.txt,144,12,116,0.8055555555555556,1.0,0,3,63,0.054142152
./weddings/complete-suite/complete_012_012_331179337.txt,144,12,128,0.8888888888888888,1.5,0,3,56,0.048974303
./weddings/complete-suite/complete_014_014_2580785673.txt,196,14,180,0.9183673469387755,2.0,0,3,79,0.084169068
./weddings/complete-suite/complete_014_014_2580785673.txt,196,14,156,0.7959183673469388,0.5,0,3,85,0.084271746
./weddings/complete-suite/complete_014_014_2580785673.txt,196,14,162,0.826530612244898,1.5,0,3,81,0.083980851
./weddings/complete-suite/complete_014_014_2580785673.txt,196,14,154,0.7857142857142857,1.5,0,3,83,0.084157319
./weddings/complete-suite/complete_014_014_2580785673.txt,196,14,166,0.8469387755102041,0.5,0,3,79,0.0841471
./weddings/complete-suite/complete_014_014_2580785673.txt,196,14,140,0.7142857142857143,0.5,0,2,89,0.084024356
./weddings/complete-suite/complete_014_014_2580785673.txt,196,14,210,1.0714285714285714,1.0,0,3,65,0.08430096
./weddings/complete-suite/complete_014_014_2580785673.txt,196,14,182,0.9285714285714286,1.0,0,3,77,0.084564443
./weddings/complete-suite/complete_014_014_2580785673.txt,196,14,152,0.7755102040816326,1.0,0,4,86,0.084112704
./weddings/complete-suite/complete_014_014_2580785673.txt,196,14,180,0.9183673469387755,0.5,0,4,77,0.084244845
