wedding,n_people,n_tables,total_happiness,mean_happiness,median_happiness,min_happiness,max_happiness,n_lonely,seconds
./weddings/const-table-size/complete_005_010_2532664516.txt,50,5,74,1.48,1.0,0,3,8,0.046666229
./weddings/const-table-size/complete_050_010_1452613165.txt,500,50,82,0.164,0.5,0,1,418,0.168446243
./weddings/const-table-size/rand_100_010_1209295285.txt,1000,100,24,0.024,0.0,0,1,976,0.322298485
./weddings/const-table-size/ring_005_010_1788620465.txt,50,5,28,0.56,0.5,0,2,27,0.013408453
./weddings/const-table-size/rand_050_010_3256633713.txt,500,50,30,0.06,0.0,0,1,470,0.136534154
./weddings/const-table-size/complete_100_010_776938435.txt,1000,100,78,0.078,0.0,0,2,925,0.317981166
./weddings/const-table-size/ring_050_010_1581392888.txt,500,50,16,0.032,0.0,0,1,484,0.137654577
./weddings/const-table-size/rand_010_010_1272010687.txt,100,10,20,0.2,0.0,0,2,82,0.034564289
./weddings/const-table-size/ring_100_010_2732797290.txt,1000,100,18,0.018,0.0,0,1,982,0.328871327
./weddings/const-table-size/complete_010_010_226571287.txt,100,10,86,0.86,1.0,0,2,35,0.027709028
./weddings/const-table-size/complete_050_010_3628511952.txt,500,50,56,0.112,0.0,0,1,444,0.151176661
./weddings/const-table-size/rand_010_010_242692762.txt,100,10,18,0.18,0.0,0,1,82,0.031826572
./weddings/const-table-size/rand_010_010_3324494654.txt,100,10,22,0.22,0.5,0,3,81,0.036374725
./weddings/const-table-size/rand_005_010_1424902277.txt,50,5,32,0.64,0.5,0,4,28,0.018991787
./weddings/const-table-size/rand_005_010_864510526.txt,50,5,20,0.4,0.5,0,2,32,0.022723987
./weddings/const-table-size/rand_010_010_2324221034.txt,100,10,30,0.3,0.0,0,2,73,0.035666819
./weddings/const-table-size/rand_010_010_2520268306.txt,100,10,18,0.18,0.0,0,2,83,0.059398376
./weddings/const-table-size/ring_050_010_3857097352.txt,500,50,14,0.028,0.0,0,1,486,0.140767935
./weddings/const-table-size/complete_100_010_2232333794.txt,1000,100,72,0.072,0.5,0,1,928,0.319470772
./weddings/const-table-size/ring_005_010_2198978170.txt,50,5,24,0.48,0.0,0,2,27,0.018128981
./weddings/const-table-size/complete_005_010_1208810561.txt,50,5,78,1.56,1.5,0,3,1,0.021671595
./weddings/const-table-size/complete_010_010_156519695.txt,100,10,74,0.74,1.0,0,3,46,0.044434027
./weddings/const-table-size/ring_100_010_2358272147.txt,1000,100,16,0.016,0.0,0,1,984,0.320128899
./weddings/const-table-size/ring_050_010_3060848226.txt,500,50,22,0.044,0.0,0,1,478,0.144475986
./weddings/const-table-size/rand_100_010_3886734900.txt,1000,100,16,0.016,0.0,0,1,984,0.317312702
./weddings/const-table-size/complete_100_010_3132453735.txt,1000,100,88,0.088,0.0,0,1,912,0.314675845
./weddings/const-table-size/complete_050_010_3191890515.txt,500,50,84,0.168,0.0,0,2,419,0.179210863
./weddings/const-table-size/rand_100_010_4071785302.txt,1000,100,26,0.026,0.0,0,1,974,0.317152932
./weddings/const-table-size/rand_005_010_2859265846.txt,50,5,32,0.64,1.0,0,2,24,0.02085337
./weddings/const-table-size/rand_050_010_1315326564.txt,500,50,26,0.052,0.0,0,2,476,0.141839551
./weddings/const-table-size/ring_005_010_2206409943.txt,50,5,16,0.32,0.0,0,2,35,0.027284825
./weddings/const-table-size/rand_050_010_3829301183.txt,500,50,28,0.056,0.0,0,2,475,0.153396224
./weddings/const-table-size/complete_100_010_2454174752.txt,1000,100,68,0.068,0.0,0,1,932,0.342176746
./weddings/const-table-size/rand_100_010_3517118300.txt,1000,100,30,0.03,0.0,0,1,970,0.315832087
./weddings/const-table-size/complete_005_010_1478061683.txt,50,5,74,1.48,2.0,0,3,5,0.024766746
./weddings/const-table-size/complete_100_010_4099971635.txt,1000,100,64,0.064,0.0,0,2,939,0.316737596
./weddings/const-table-size/ring_100_010_4266160803.txt,1000,100,20,0.02,0.5,0,1,980,0.316886414
./weddings/const-table-size/rand_050_010_1228326960.txt,500,50,16,0.032,0.0,0,1,484,0.149177912
./weddings/const-table-size/complete_050_010_732720034.txt,500,50,78,0.156,0.5,0,2,425,0.199698684
./weddings/const-table-size/ring_050_010_2493680105.txt,500,50,16,0.032,0.0,0,2,485,0.143957716
./weddings/const-table-size/complete_005_010_1585771993.txt,50,5,82,1.64,1.0,0,3,6,0.018711554
./weddings/const-table-size/rand_005_010_1655734923.txt,50,5,44,0.88,0.5,0,4,23,0.019928242
./weddings/const-table-size/complete_050_010_463225202.txt,500,50,82,0.164,0.5,0,2,424,0.203970633
./weddings/const-table-size/ring_100_010_3791136267.txt,1000,100,20,0.02,0.0,0,2,981,0.324196543
./weddings/const-table-size/complete_010_010_2123490209.txt,100,10,80,0.8,0.5,0,3,48,0.049911146
./weddings/const-table-size/complete_010_010_1992472784.txt,100,10,70,0.7,0.5,0,2,48,0.058160929
./weddings/const-table-size/ring_100_010_1140625857.txt,1000,100,26,0.026,0.0,0,1,974,0.320671119
./weddings/const-table-size/rand_050_010_2782541717.txt,500,50,22,0.044,0.0,0,1,478,0.162007217
./weddings/const-table-size/ring_005_010_208330458.txt,50,5,20,0.4,0.0,0,2,33,0.023203746
./weddings/const-table-size/rand_005_010_3127633114.txt,50,5,24,0.48,1.0,0,2,30,0.029837254
./weddings/const-table-size/complete_005_010_3098097788.txt,50,5,90,1.8,2.0,0,3,9,0.028930896
./weddings/const-table-size/ring_050_010_1280703894.txt,500,50,16,0.032,0.0,0,1,484,0.152547198
./weddings/const-table-size/ring_005_010_3394858364.txt,50,5,12,0.24,0.0,0,1,38,0.01642624
./weddings/const-table-size/rand_100_010_1437900625.txt,1000,100,32,0.032,0.5,0,1,968,0.330994066
./weddings/const-table-size/complete_010_010_945003965.txt,100,10,80,0.8,1.0,0,3,37,0.031208504
