wedding,n_people,n_tables,total_happiness,mean_happiness,median_happiness,min_happiness,max_happiness,n_lonely,seconds
./weddings/rand-suite/rand_012_012_2766749911.txt,144,12,46,0.3194444444444444,0.0,0,2,105,0.011912143
./weddings/rand-suite/rand_014_014_1280974218.txt,196,14,36,0.1836734693877551,0.5,0,2,162,0.005814497
./weddings/rand-suite/rand_007_007_1969135397.txt,49,7,18,0.3673469387755102,0.5,0,2,34,0.001553827
./weddings/rand-suite/rand_002_002_2727852535.txt,4,2,4,1.0,1.0,1,1,0,0.001901084
./weddings/rand-suite/rand_012_012_1140981662.txt,144,12,32,0.2222222222222222,1.0,0,2,114,0.002728755
./weddings/rand-suite/rand_002_002_3751925263.txt,4,2,2,0.5,0.0,0,1,2,0.000697536
./weddings/rand-suite/rand_002_002_4161212825.txt,4,2,4,1.0,1.0,1,1,0,0.001363801
./weddings/rand-suite/rand_010_010_3044039798.txt,100,10,30,0.3,0.0,0,2,73,0.002740992
./weddings/rand-suite/rand_012_012_1069964518.txt,144,12,28,0.19444444444444445,0.0,0,2,118,0.003391851
./weddings/rand-suite/rand_007_007_2672932380.txt,49,7,16,0.32653061224489793,0.0,0,2,35,0.000796077
./weddings/rand-suite/rand_007_007_1389719468.txt,49,7,12,0.24489795918367346,0.5,0,2,38,0.000838194
./weddings/rand-suite/rand_010_010_969865838.txt,100,10,16,0.16,0.0,0,1,84,0.00140519
./weddings/rand-suite/rand_002_002_1044788941.txt,4,2,4,1.0,1.0,1,1,0,0.001033663
./weddings/rand-suite/rand_014_014_575067886.txt,196,14,28,0.14285714285714285,0.0,0,2,170,0.00261406
./weddings/rand-suite/rand_012_012_4006104047.txt,144,12,34,0.2361111111111111,1.0,0,1,110,0.003196115
./weddings/rand-suite/rand_002_002_2330628862.txt,4,2,4,1.0,1.0,1,1,0,0.002175975
./weddings/rand-suite/rand_010_010_1722147288.txt,100,10,24,0.24,0.0,0,2,78,0.001314896
./weddings/rand-suite/rand_012_012_747681965.txt,144,12,28,0.19444444444444445,0.5,0,2,119,0.006192281
./weddings/rand-suite/rand_014_014_2448432178.txt,196,14,44,0.22448979591836735,0.0,0,2,156,0.002247268
./weddings/rand-suite/rand_007_007_2292213264.txt,49,7,20,0.40816326530612246,0.0,0,2,30,0.000787889
./weddings/rand-suite/rand_014_014_1121343129.txt,196,14,40,0.20408163265306123,0.5,0,2,157,0.00450611
./weddings/rand-suite/rand_014_014_1287273773.txt,196,14,26,0.1326530612244898,0.0,0,1,170,0.003712911
./weddings/rand-suite/rand_007_007_2734156048.txt,49,7,24,0.4897959183673469,0.0,0,2,29,0.001003929
./weddings/rand-suite/rand_010_010_1135441985.txt,100,10,26,0.26,0.5,0,2,75,0.001719126
./weddings/rand-suite/rand_010_010_2126474373.txt,100,10,24,0.24,0.0,0,2,77,0.001277303
