wedding,n_people,n_tables,total_happiness,mean_happiness,median_happiness,min_happiness,max_happiness,n_lonely,seconds
./weddings/ring-suite/ring_002_002_3738897474.txt,4,2,4,1.0,1.0,1,1,0,0.003367944
./weddings/ring-suite/ring_002_002_3738897474.txt,4,2,0,0.0,0.0,0,0,4,0.003542642
./weddings/ring-suite/ring_002_002_3738897474.txt,4,2,0,0.0,0.0,0,0,4,0.004858826
./weddings/ring-suite/ring_002_002_3738897474.txt,4,2,0,0.0,0.0,0,0,4,0.009475639
./weddings/ring-suite/ring_002_002_3738897474.txt,4,2,4,1.0,1.0,1,1,0,0.005461519
./weddings/ring-suite/ring_002_002_3738897474.txt,4,2,0,0.0,0.0,0,0,4,0.003364555
./weddings/ring-suite/ring_002_002_3738897474.txt,4,2,4,1.0,1.0,1,1,0,0.003073657
./weddings/ring-suite/ring_002_002_3738897474.txt,4,2,0,0.0,0.0,0,0,4,0.003095743
./weddings/ring-suite/ring_002_002_3738897474.txt,4,2,0,0.0,0.0,0,0,4,0.003400723
./weddings/ring-suite/ring_002_002_3738897474.txt,4,2,4,1.0,1.0,1,1,0,0.003325678
./weddings/ring-suite/ring_003_003_2206269732.txt,9,3,4,0.4444444444444444,0.0,0,1,5,0.004469159
./weddings/ring-suite/ring_003_003_2206269732.txt,9,3,4,0.4444444444444444,0.0,0,1,5,0.002370879
./weddings/ring-suite/ring_003_003_2206269732.txt,9,3,4,0.4444444444444444,0.5,0,1,5,0.001540738
./weddings/ring-suite/ring_003_003_2206269732.txt,9,3,10,1.1111111111111112,1.5,0,2,2,0.003995657
./weddings/ring-suite/ring_003_003_2206269732.txt,9,3,0,0.0,0.0,0,0,9,0.004195143
./weddings/ring-suite/ring_003_003_2206269732.txt,9,3,4,0.4444444444444444,0.5,0,1,5,0.003439019
./weddings/ring-suite/ring_003_003_2206269732.txt,9,3,0,0.0,0.0,0,0,9,0.003602168
./weddings/ring-suite/ring_003_003_2206269732.txt,9,3,4,0.4444444444444444,0.0,0,1,5,0.004210939
./weddings/ring-suite/ring_003_003_2206269732.txt,9,3,6,0.6666666666666666,0.0,0,1,3,0.001250412
./weddings/ring-suite/ring_003_003_2206269732.txt,9,3,4,0.4444444444444444,0.5,0,1,5,0.001595687
./weddings/ring-suite/ring_007_007_2854682354.txt,49,7,6,0.12244897959183673,0.0,0,1,43,0.016350011
./weddings/ring-suite/ring_007_007_2854682354.txt,49,7,12,0.24489795918367346,0.5,0,2,38,0.015049651
./weddings/ring-suite/ring_007_007_2854682354.txt,49,7,16,0.32653061224489793,0.5,0,2,34,0.015104583
./weddings/ring-suite/ring_007_007_2854682354.txt,49,7,10,0.20408163265306123,0.0,0,1,39,0.015087748
./weddings/ring-suite/ring_007_007_2854682354.txt,49,7,14,0.2857142857142857,1.0,0,2,37,0.015078621
./weddings/ring-suite/ring_007_007_2854682354.txt,49,7,16,0.32653061224489793,0.0,0,1,33,0.014959454
./weddings/ring-suite/ring_007_007_2854682354.txt,49,7,8,0.16326530612244897,0.0,0,1,41,0.025099984
./weddings/ring-suite/ring_007_007_2854682354.txt,49,7,12,0.24489795918367346,0.0,0,2,38,0.015612482
./weddings/ring-suite/ring_007_007_2854682354.txt,49,7,8,0.16326530612244897,0.0,0,1,41,0.014529138
./weddings/ring-suite/ring_007_007_2854682354.txt,49,7,22,0.4489795918367347,1.0,0,2,30,0.014861229
./weddings/ring-suite/ring_010_010_903365006.txt,100,10,24,0.24,0.0,0,2,77,0.042691696
./weddings/ring-suite/ring_010_010_903365006.txt,100,10,16,0.16,0.5,0,1,84,0.041051039
./weddings/ring-suite/ring_010_010_903365006.txt,100,10,8,0.08,0.0,0,1,92,0.042388746
./weddings/ring-suite/ring_010_010_903365006.txt,100,10,28,0.28,0.0,0,2,74,0.041537217
./weddings/ring-suite/ring_010_010_903365006.txt,100,10,20,0.2,0.5,0,2,81,0.041438971
./weddings/ring-suite/ring_010_010_903365006.txt,100,10,20,0.2,0.0,0,2,81,0.041517557
