wedding,n_people,n_tables,total_happiness,mean_happiness,median_happiness,min_happiness,max_happiness,n_lonely,seconds
./weddings/tense-suite/tense_002_002_1175688929.txt,4,2,78,19.5,43.0,-4,43,2,0.002148649
./weddings/tense-suite/tense_002_002_1175688929.txt,4,2,78,19.5,43.0,-4,43,2,0.001953988
./weddings/tense-suite/tense_002_002_1175688929.txt,4,2,78,19.5,43.0,-4,43,2,0.002196456
./weddings/tense-suite/tense_002_002_1175688929.txt,4,2,-110,-27.5,-46.0,-46,-9,4,0.001993005
./weddings/tense-suite/tense_002_002_1175688929.txt,4,2,-58,-14.5,-39.0,-39,10,2,0.001771739
./weddings/tense-suite/tense_002_002_1175688929.txt,4,2,-110,-27.5,-46.0,-46,-9,4,0.002021566
./weddings/tense-suite/tense_002_002_1175688929.txt,4,2,-58,-14.5,-39.0,-39,10,2,0.003877333
./weddings/tense-suite/tense_002_002_1175688929.txt,4,2,78,19.5,43.0,-4,43,2,0.002370808
./weddings/tense-suite/tense_002_002_1175688929.txt,4,2,-58,-14.5,-39.0,-39,10,2,0.002226034
./weddings/tense-suite/tense_002_002_1175688929.txt,4,2,-58,-14.5,-39.0,-39,10,2,0.003203384
./weddings/tense-suite/tense_002_002_1416900457.txt,4,2,132,33.0,-14.0,-14,80,2,0.004345772
./weddings/tense-suite/tense_002_002_1416900457.txt,4,2,-66,-16.5,-12.0,-21,-12,4,0.003252573
./weddings/tense-suite/tense_002_002_1416900457.txt,4,2,132,33.0,-14.0,-14,80,2,0.00341582
./weddings/tense-suite/tense_002_002_1416900457.txt,4,2,36,9.0,2.0,2,16,0,0.003499418
./weddings/tense-suite/tense_002_002_1416900457.txt,4,2,132,33.0,-14.0,-14,80,2,0.003066751
./weddings/tense-suite/tense_002_002_1416900457.txt,4,2,132,33.0,-14.0,-14,80,2,0.002838095
./weddings/tense-suite/tense_002_002_1416900457.txt,4,2,-66,-16.5,-12.0,-21,-12,4,0.003275172
./weddings/tense-suite/tense_002_002_1416900457.txt,4,2,-66,-16.5,-12.0,-21,-12,4,0.003045418
./weddings/tense-suite/tense_002_002_1416900457.txt,4,2,-66,-16.5,-12.0,-21,-12,4,0.003166027
./weddings/tense-suite/tense_002_002_1416900457.txt,4,2,132,33.0,-14.0,-14,80,2,0.003199005
./weddings/tense-suite/tense_002_002_1762095500.txt,4,2,14,3.5,24.0,-17,24,2,0.007705316
./weddings/tense-suite/tense_002_002_1762095500.txt,4,2,74,18.5,22.0,15,22,0,0.007616262
./weddings/tense-suite/tense_002_002_1762095500.txt,4,2,48,12.0,32.0,-8,32,2,0.003093908
./weddings/tense-suite/tense_002_002_1762095500.txt,4,2,14,3.5,24.0,-17,24,2,0.002664449
./weddings/tense-suite/tense_002_002_1762095500.txt,4,2,14,3.5,24.0,-17,24,2,0.003143352
./weddings/tense-suite/tense_002_002_1762095500.txt,4,2,74,18.5,22.0,15,22,0,0.002088986
./weddings/tense-suite/tense_002_002_1762095500.txt,4,2,14,3.5,24.0,-17,24,2,0.00198614
./weddings/tense-suite/tense_002_002_1762095500.txt,4,2,48,12.0,32.0,-8,32,2,0.002998288
./weddings/tense-suite/tense_002_002_1762095500.txt,4,2,14,3.5,24.0,-17,24,2,0.00313356
./weddings/tense-suite/tense_002_002_1762095500.txt,4,2,74,18.5,22.0,15,22,0,0.003757058
./weddings/tense-suite/tense_002_002_2268261759.txt,4,2,-58,-14.5,-2.0,-27,-2,4,0.00508462
./weddings/tense-suite/tense_002_002_2268261759.txt,4,2,-58,-14.5,-2.0,-27,-2,4,0.002443501
./weddings/tense-suite/tense_002_002_2268261759.txt,4,2,88,22.0,22.0,22,22,0,0.003558246
./weddings/tense-suite/tense_002_002_2268261759.txt,4,2,-58,-14.5,-2.0,-27,-2,4,0.001915522
./weddings/tense-suite/tense_002_002_2268261759.txt,4,2,-58,-14.5,-2.0,-27,-2,4,0.001721373
./weddings/tense-suite/tense_002_002_2268261759.txt,4,2,-58,-14.5,-2.0,-27,-2,4,0.001765395
./weddings/tense-suite/tense_002_002_2268261759.txt,4,2,88,22.0,22.0,22,22,0,0.001927768
