wedding,n_people,n_tables,total_happiness,mean_happiness,median_happiness,min_happiness,max_happiness,n_lonely,seconds
./weddings/rand-suite/rand_002_002_1206330560.txt,4,2,4,1.0,1.0,1,1,0,0.361549674
./weddings/rand-suite/rand_002_002_1206330560.txt,4,2,4,1.0,1.0,1,1,0,0.350690105
./weddings/rand-suite/rand_002_002_1206330560.txt,4,2,4,1.0,1.0,1,1,0,0.405301598
./weddings/rand-suite/rand_002_002_1206330560.txt,4,2,4,1.0,1.0,1,1,0,0.365071525
./weddings/rand-suite/rand_002_002_1206330560.txt,4,2,4,1.0,1.0,1,1,0,0.33969512
./weddings/rand-suite/rand_002_002_1206330560.txt,4,2,4,1.0,1.0,1,1,0,0.348751565
./weddings/rand-suite/rand_002_002_1206330560.txt,4,2,4,1.0,1.0,1,1,0,0.351963692
./weddings/rand-suite/rand_002_002_1206330560.txt,4,2,4,1.0,1.0,1,1,0,0.339425343
./weddings/rand-suite/rand_002_002_1206330560.txt,4,2,4,1.0,1.0,1,1,0,0.350646202
./weddings/rand-suite/rand_002_002_1206330560.txt,4,2,4,1.0,1.0,1,1,0,0.326477919
./weddings/rand-suite/rand_002_002_1230626629.txt,4,2,4,1.0,1.0,1,1,0,0.365875386
./weddings/rand-suite/rand_002_002_1230626629.txt,4,2,4,1.0,1.0,1,1,0,0.353862148
./weddings/rand-suite/rand_002_002_1230626629.txt,4,2,4,1.0,1.0,1,1,0,0.521262509
./weddings/rand-suite/rand_002_002_1230626629.txt,4,2,4,1.0,1.0,1,1,0,0.358087361
./weddings/rand-suite/rand_002_002_1230626629.txt,4,2,4,1.0,1.0,1,1,0,0.34450509
./weddings/rand-suite/rand_002_002_1230626629.txt,4,2,4,1.0,1.0,1,1,0,0.365729035
./weddings/rand-suite/rand_002_002_1230626629.txt,4,2,4,1.0,1.0,1,1,0,0.41879013
./weddings/rand-suite/rand_002_002_1230626629.txt,4,2,4,1.0,1.0,1,1,0,0.353587448
./weddings/rand-suite/rand_002_002_1230626629.txt,4,2,4,1.0,1.0,1,1,0,0.377679566
./weddings/rand-suite/rand_002_002_1230626629.txt,4,2,4,1.0,1.0,1,1,0,0.351420705
./weddings/rand-suite/rand_002_002_3019049160.txt,4,2,4,1.0,1.0,1,1,0,0.348700102
./weddings/rand-suite/rand_002_002_3019049160.txt,4,2,4,1.0,1.0,1,1,0,0.347543649
./weddings/rand-suite/rand_002_002_3019049160.txt,4,2,4,1.0,1.0,1,1,0,0.333349626
./weddings/rand-suite/rand_002_002_3019049160.txt,4,2,4,1.0,1.0,1,1,0,0.423490135
