wedding,n_people,n_tables,total_happiness,mean_happiness,median_happiness,min_happiness,max_happiness,n_lonely,seconds
./weddings/tense-suite/tense_002_002_1175688929.txt,4,2,78,19.5,43.0,-4,43,2,4.094799692
./weddings/tense-suite/tense_002_002_1175688929.txt,4,2,78,19.5,43.0,-4,43,2,0.493124798
./weddings/tense-suite/tense_002_002_1175688929.txt,4,2,78,19.5,43.0,-4,43,2,0.456320843
./weddings/tense-suite/tense_002_002_1175688929.txt,4,2,78,19.5,43.0,-4,43,2,0.442075636
./weddings/tense-suite/tense_002_002_1175688929.txt,4,2,78,19.5,43.0,-4,43,2,0.479431507
./weddings/tense-suite/tense_002_002_1175688929.txt,4,2,78,19.5,43.0,-4,43,2,0.458695413
./weddings/tense-suite/tense_002_002_1175688929.txt,4,2,78,19.5,43.0,-4,43,2,0.440688513
./weddings/tense-suite/tense_002_002_1175688929.txt,4,2,78,19.5,43.0,-4,43,2,0.46175495
./weddings/tense-suite/tense_002_002_1175688929.txt,4,2,78,19.5,43.0,-4,43,2,0.500069534
./weddings/tense-suite/tense_002_002_1175688929.txt,4,2,78,19.5,43.0,-4,43,2,0.477763669
./weddings/tense-suite/tense_002_002_1416900457.txt,4,2,132,33.0,-14.0,-14,80,2,0.420153443
./weddings/tense-suite/tense_002_002_1416900457.txt,4,2,132,33.0,-14.0,-14,80,2,0.451705781
./weddings/tense-suite/tense_002_002_1416900457.txt,4,2,132,33.0,-14.0,-14,80,2,0.48560786
./weddings/tense-suite/tense_002_002_1416900457.txt,4,2,132,33.0,-14.0,-14,80,2,0.487882088
./weddings/tense-suite/tense_002_002_1416900457.txt,4,2,132,33.0,-14.0,-14,80,2,0.480422056
./weddings/tense-suite/tense_002_002_1416900457.txt,4,2,132,33.0,-14.0,-14,80,2,0.446298703
./weddings/tense-suite/tense_002_002_1416900457.txt,4,2,132,33.0,-14.0,-14,80,2,0.469094642
./weddings/tense-suite/tense_002_002_1416900457.txt,4,2,132,33.0,-14.0,-14,80,2,0.438920709
./weddings/tense-suite/tense_002_002_1416900457.txt,4,2,132,33.0,-14.0,-14,80,2,0.478332076
./weddings/tense-suite/tense_002_002_1416900457.txt,4,2,132,33.0,-14.0,-14,80,2,0.512815242
./weddings/tense-suite/tense_002_002_1762095500.txt,4,2,74,18.5,22.0,15,22,0,0.423806496
./weddings/tense-suite/tense_002_002_1762095500.txt,4,2,74,18.5,22.0,15,22,0,0.479107978
./weddings/tense-suite/tense_002_002_1762095500.txt,4,2,74,18.5,22.0,15,22,0,0.473573188
./weddings/tense-suite/tense_002_002_1762095500.txt,4,2,74,18.5,22.0,15,22,0,0.468879653
./weddings/tense-suite/tense_002_002_1762095500.txt,4,2,74,18.5,22.0,15,22,0,0.465415255
./weddings/tense-suite/tense_002_002_1762095500.txt,4,2,74,18.5,22.0,15,22,0,0.460813398
./weddings/tense-suite/tense_002_002_1762095500.txt,4,2,74,18.5,22.0,15,22,0,0.461286347
./weddings/tense-suite/tense_002_002_1762095500.txt,4,2,74,18.5,22.0,15,22,0,0.496836835
./weddings/tense-suite/tense_002_002_1762095500.txt,4,2,74,18.5,22.0,15,22,0,0.457583104
./weddings/tense-suite/tense_002_002_1762095500.txt,4,2,74,18.5,22.0,15,22,0,0.439375334
