wedding,n_people,n_tables,total_happiness,mean_happiness,median_happiness,min_happiness,max_happiness,n_lonely,seconds
./weddings/complete-suite/complete_002_002_1535681195.txt,4,2,4,1.0,1.0,1,1,0,0.004430583
./weddings/complete-suite/complete_002_002_1535681195.txt,4,2,4,1.0,1.0,1,1,0,0.004626958
./weddings/complete-suite/complete_002_002_1535681195.txt,4,2,4,1.0,1.0,1,1,0,0.004640532
./weddings/complete-suite/complete_002_002_1535681195.txt,4,2,4,1.0,1.0,1,1,0,0.004574258
./weddings/complete-suite/complete_002_002_1535681195.txt,4,2,4,1.0,1.0,1,1,0,0.004654188
./weddings/complete-suite/complete_002_002_1535681195.txt,4,2,4,1.0,1.0,1,1,0,0.004729864
./weddings/complete-suite/complete_002_002_1535681195.txt,4,2,4,1.0,1.0,1,1,0,0.004576465
./weddings/complete-suite/complete_002_002_1535681195.txt,4,2,4,1.0,1.0,1,1,0,0.004647188
./weddings/complete-suite/complete_002_002_1535681195.txt,4,2,4,1.0,1.0,1,1,0,0.00583824
./weddings/complete-suite/complete_002_002_1535681195.txt,4,2,4,1.0,1.0,1,1,0,0.005338947
./weddings/complete-suite/complete_003_003_1732138090.txt,9,3,18,2.0,2.0,2,2,0,0.007412063
./weddings/complete-suite/complete_003_003_1732138090.txt,9,3,18,2.0,2.0,2,2,0,0.013514134
./weddings/complete-suite/complete_003_003_1732138090.txt,9,3,18,2.0,2.0,2,2,0,0.01617176
./weddings/complete-suite/complete_003_003_1732138090.txt,9,3,18,2.0,2.0,2,2,0,0.017768659
./weddings/complete-suite/complete_003_003_1732138090.txt,9,3,18,2.0,2.0,2,2,0,0.019921136
./weddings/complete-suite/complete_003_003_1732138090.txt,9,3,18,2.0,2.0,2,2,0,0.010103576
./weddings/complete-suite/complete_003_003_1732138090.txt,9,3,18,2.0,2.0,2,2,0,0.014990275
./weddings/complete-suite/complete_003_003_1732138090.txt,9,3,18,2.0,2.0,2,2,0,0.017990261
./weddings/complete-suite/complete_003_003_1732138090.txt,9,3,18,2.0,2.0,2,2,0,0.016260752
./weddings/complete-suite/complete_003_003_1732138090.txt,9,3,18,2.0,2.0,2,2,0,0.014720904
./weddings/complete-suite/complete_007_007_1773709613.txt,49,7,224,4.571428571428571,3.0,0,6,6,3.107250005
./weddings/complete-suite/complete_007_007_1773709613.txt,49,7,208,4.244897959183674,4.0,0,6,3,2.862346365
./weddings/complete-suite/complete_007_007_1773709613.txt,49,7,216,4.408163265306122,5.0,0,6,7,2.966617956
./weddings/complete-suite/complete_007_007_1773709613.txt,49,7,202,4.122448979591836,5.0,0,6,8,2.672519456
./weddings/complete-suite/complete_007_007_1773709613.txt,49,7,198,4.040816326530612,5.5,0,6,3,2.678437003
./weddings/complete-suite/complete_007_007_1773709613.txt,49,7,212,4.326530612244898,5.0,0,6,7,2.914238996
./weddings/complete-suite/complete_007_007_1773709613.txt,49,7,246,5.020408163265306,5.5,0,6,4,3.714116511
./weddings/complete-suite/complete_007_007_1773709613.txt,49,7,224,4.571428571428571,5.5,0,6,6,3.240621497
