wedding,n_people,n_tables,total_happiness,mean_happiness,median_happiness,min_happiness,max_happiness,n_lonely,seconds
./weddings/const-table-size/complete_005_010_2532664516.txt,50,5,280,5.6,3.5,0,9,4,0.959797648
./weddings/const-table-size/complete_050_010_1452613165.txt,500,50,810,1.62,0.5,0,9,235,130.1163333
./weddings/const-table-size/rand_100_010_1209295285.txt,1000,100,206,0.206,0.0,0,3,815,59.335081016
./weddings/const-table-size/ring_005_010_1788620465.txt,50,5,68,1.36,2.0,0,2,5,0.71169867
./weddings/const-table-size/rand_050_010_3256633713.txt,500,50,228,0.456,1.0,0,4,323,39.669698096
./weddings/const-table-size/complete_100_010_776938435.txt,1000,100,772,0.772,0.5,0,6,600,244.932284613
./weddings/const-table-size/ring_050_010_1581392888.txt,500,50,144,0.288,0.5,0,2,365,19.866264665
./weddings/const-table-size/rand_010_010_1272010687.txt,100,10,122,1.22,1.0,0,4,25,3.07644818
./weddings/const-table-size/ring_100_010_2732797290.txt,1000,100,124,0.124,0.0,0,2,877,26.975075221
./weddings/const-table-size/complete_010_010_226571287.txt,100,10,430,4.3,3.5,0,8,18,6.966679738
./weddings/const-table-size/complete_050_010_3628511952.txt,500,50,914,1.828,0.0,0,8,212,177.282014686
./weddings/const-table-size/rand_010_010_242692762.txt,100,10,124,1.24,2.0,0,4,21,3.037352911
./weddings/const-table-size/rand_010_010_3324494654.txt,100,10,126,1.26,0.5,0,4,25,3.811259197
./weddings/const-table-size/rand_005_010_1424902277.txt,50,5,88,1.76,3.0,0,5,4,0.574376799
./weddings/const-table-size/rand_005_010_864510526.txt,50,5,88,1.76,1.0,0,6,4,0.755250765
./weddings/const-table-size/rand_010_010_2324221034.txt,100,10,146,1.46,1.5,0,5,26,4.162656667
./weddings/const-table-size/rand_010_010_2520268306.txt,100,10,120,1.2,1.0,0,4,28,3.549240788
./weddings/const-table-size/ring_050_010_3857097352.txt,500,50,194,0.388,1.0,0,2,321,39.392395119
./weddings/const-table-size/complete_100_010_2232333794.txt,1000,100,878,0.878,0.0,0,8,565,357.719606946
./weddings/const-table-size/ring_005_010_2198978170.txt,50,5,62,1.24,1.5,0,2,3,0.538339763
./weddings/const-table-size/complete_005_010_1208810561.txt,50,5,248,4.96,4.5,0,8,7,0.724821495
./weddings/const-table-size/complete_010_010_156519695.txt,100,10,420,4.2,0.0,0,7,16,7.1132133379999996
./weddings/const-table-size/ring_100_010_2358272147.txt,1000,100,152,0.152,0.0,0,2,851,40.219388556
./weddings/const-table-size/ring_050_010_3060848226.txt,500,50,170,0.34,0.0,0,2,341,29.37549055
./weddings/const-table-size/rand_100_010_3886734900.txt,1000,100,260,0.26,0.5,0,3,779,104.946294336
./weddings/const-table-size/complete_100_010_3132453735.txt,1000,100,928,0.928,0.5,0,8,573,413.249674628
./weddings/const-table-size/complete_050_010_3191890515.txt,500,50,806,1.612,1.0,0,9,225,129.225714614
./weddings/const-table-size/rand_100_010_4071785302.txt,1000,100,216,0.216,0.0,0,2,805,74.762723545
./weddings/const-table-size/rand_005_010_2859265846.txt,50,5,92,1.84,2.5,0,6,9,0.667771629
./weddings/const-table-size/rand_050_010_1315326564.txt,500,50,202,0.404,0.0,0,4,339,29.169127615
./weddings/const-table-size/ring_005_010_2206409943.txt,50,5,64,1.28,2.0,0,2,4,0.522182995
./weddings/const-table-size/rand_050_010_3829301183.txt,500,50,202,0.404,0.5,0,3,329,30.950929227
./weddings/const-table-size/complete_100_010_2454174752.txt,1000,100,872,0.872,0.0,0,7,568,367.401008537
./weddings/const-table-size/rand_100_010_3517118300.txt,1000,100,198,0.198,0.0,0,2,821,60.3229719
./weddings/const-table-size/complete_005_010_1478061683.txt,50,5,250,5.0,4.0,0,8,8,0.670926335
./weddings/const-table-size/complete_100_010_4099971635.txt,1000,100,1074,1.074,0.0,0,7,558,476.169668815
./weddings/const-table-size/ring_100_010_4266160803.txt,1000,100,158,0.158,0.0,0,2,846,51.256244755
./weddings/const-table-size/rand_050_010_1228326960.txt,500,50,242,0.484,0.0,0,4,309,46.246189035
./weddings/const-table-size/complete_050_010_732720034.txt,500,50,1080,2.16,1.0,0,9,194,228.983035804
./weddings/const-table-size/ring_050_010_2493680105.txt,500,50,206,0.412,0.0,0,2,314,42.636676771
./weddings/const-table-size/complete_005_010_1585771993.txt,50,5,270,5.4,4.5,0,9,3,0.819198393
./weddings/const-table-size/rand_005_010_1655734923.txt,50,5,100,2.0,5.0,0,6,8,0.773370174
./weddings/const-table-size/complete_050_010_463225202.txt,500,50,910,1.82,2.0,0,8,208,160.226634578
./weddings/const-table-size/ring_100_010_3791136267.txt,1000,100,166,0.166,0.0,0,2,840,50.377497171
./weddings/const-table-size/complete_010_010_2123490209.txt,100,10,406,4.06,5.5,0,8,22,6.911355635
./weddings/const-table-size/complete_010_010_1992472784.txt,100,10,412,4.12,3.5,0,8,17,7.450734026
./weddings/const-table-size/ring_100_010_1140625857.txt,1000,100,128,0.128,0.0,0,2,874,27.243562824
./weddings/const-table-size/rand_050_010_2782541717.txt,500,50,240,0.48,0.0,0,3,310,45.715452698
./weddings/const-table-size/ring_005_010_208330458.txt,50,5,60,1.2,1.0,0,2,6,0.533675283
./weddings/const-table-size/rand_005_010_3127633114.txt,50,5,94,1.88,0.5,0,6,6,1.005320851
./weddings/const-table-size/complete_005_010_3098097788.txt,50,5,314,6.28,7.5,0,8,6,1.56253781
./weddings/const-table-size/ring_050_010_1280703894.txt,500,50,178,0.356,0.0,0,2,334,32.445293179
./weddings/const-table-size/ring_005_010_3394858364.txt,50,5,66,1.32,1.5,0,2,4,0.638868337
./weddings/const-table-size/rand_100_010_1437900625.txt,1000,100,242,0.242,0.0,0,3,795,97.022529533
./weddings/const-table-size/complete_010_010_945003965.txt,100,10,408,4.08,3.5,0,7,18,6.604635463
