wedding,n_people,n_tables,total_happiness,mean_happiness,median_happiness,min_happiness,max_happiness,n_lonely,seconds
./weddings/rand-suite/rand_012_012_2766749911.txt,144,12,226,1.5694444444444444,3.0,0,5,25,21.685333267
./weddings/rand-suite/rand_014_014_1280974218.txt,196,14,272,1.3877551020408163,1.5,0,5,44,40.930180075
./weddings/rand-suite/rand_007_007_1969135397.txt,49,7,84,1.7142857142857142,3.0,0,4,4,1.124478997
./weddings/rand-suite/rand_002_002_2727852535.txt,4,2,4,1.0,1.0,1,1,0,0.001882172
./weddings/rand-suite/rand_012_012_1140981662.txt,144,12,234,1.625,2.5,0,6,32,26.527904337
./weddings/rand-suite/rand_002_002_3751925263.txt,4,2,4,1.0,1.0,1,1,0,0.002504506
./weddings/rand-suite/rand_002_002_4161212825.txt,4,2,4,1.0,1.0,1,1,0,0.002930732
./weddings/rand-suite/rand_010_010_3044039798.txt,100,10,150,1.5,1.0,0,5,15,9.440877363
./weddings/rand-suite/rand_012_012_1069964518.txt,144,12,236,1.6388888888888888,0.5,0,5,21,30.712933666
./weddings/rand-suite/rand_007_007_2672932380.txt,49,7,82,1.6734693877551021,1.0,0,4,7,1.347774372
./weddings/rand-suite/rand_007_007_1389719468.txt,49,7,84,1.7142857142857142,1.5,0,4,8,2.083196579
./weddings/rand-suite/rand_010_010_969865838.txt,100,10,162,1.62,3.5,0,5,18,14.842760816
./weddings/rand-suite/rand_002_002_1044788941.txt,4,2,4,1.0,1.0,1,1,0,0.002518473
./weddings/rand-suite/rand_014_014_575067886.txt,196,14,280,1.4285714285714286,2.0,0,5,48,44.415910969
./weddings/rand-suite/rand_012_012_4006104047.txt,144,12,220,1.5277777777777777,1.0,0,5,26,21.39778071
./weddings/rand-suite/rand_002_002_2330628862.txt,4,2,4,1.0,1.0,1,1,0,0.002024156
./weddings/rand-suite/rand_010_010_1722147288.txt,100,10,174,1.74,1.5,0,5,14,10.729855512
./weddings/rand-suite/rand_012_012_747681965.txt,144,12,222,1.5416666666666667,0.5,0,5,23,17.687088111
./weddings/rand-suite/rand_014_014_2448432178.txt,196,14,274,1.3979591836734695,0.5,0,5,45,37.731660844
./weddings/rand-suite/rand_007_007_2292213264.txt,49,7,84,1.7142857142857142,1.5,0,4,3,1.094044853
./weddings/rand-suite/rand_014_014_1121343129.txt,196,14,288,1.469387755102041,2.0,0,5,44,39.579874326
./weddings/rand-suite/rand_014_014_1287273773.txt,196,14,270,1.3775510204081634,0.5,0,5,50,35.941979693
./weddings/rand-suite/rand_007_007_2734156048.txt,49,7,88,1.7959183673469388,2.0,0,4,5,1.531174947
./weddings/rand-suite/rand_010_010_1135441985.txt,100,10,162,1.62,3.0,0,5,19,9.045371874
./weddings/rand-suite/rand_010_010_2126474373.txt,100,10,150,1.5,0.5,0,5,18,6.237269785
