wedding,n_people,n_tables,total_happiness,mean_happiness,median_happiness,min_happiness,max_happiness,n_lonely,seconds
./weddings/ring-suite/ring_002_002_3738897474.txt,4,2,4,1.0,1.0,1,1,0,0.004986825
./weddings/ring-suite/ring_002_002_3738897474.txt,4,2,4,1.0,1.0,1,1,0,0.007203632
./weddings/ring-suite/ring_002_002_3738897474.txt,4,2,4,1.0,1.0,1,1,0,0.004858927
./weddings/ring-suite/ring_002_002_3738897474.txt,4,2,4,1.0,1.0,1,1,0,0.004527891
./weddings/ring-suite/ring_002_002_3738897474.txt,4,2,4,1.0,1.0,1,1,0,0.004769602
./weddings/ring-suite/ring_002_002_3738897474.txt,4,2,4,1.0,1.0,1,1,0,0.004883348
./weddings/ring-suite/ring_002_002_3738897474.txt,4,2,4,1.0,1.0,1,1,0,0.004596499
./weddings/ring-suite/ring_002_002_3738897474.txt,4,2,4,1.0,1.0,1,1,0,0.004652585
./weddings/ring-suite/ring_002_002_3738897474.txt,4,2,4,1.0,1.0,1,1,0,0.005081099
./weddings/ring-suite/ring_002_002_3738897474.txt,4,2,4,1.0,1.0,1,1,0,0.00469565
./weddings/ring-suite/ring_003_003_2206269732.txt,9,3,18,2.0,2.0,2,2,0,0.016201416
./weddings/ring-suite/ring_003_003_2206269732.txt,9,3,18,2.0,2.0,2,2,0,0.017588472
./weddings/ring-suite/ring_003_003_2206269732.txt,9,3,18,2.0,2.0,2,2,0,0.005718287
./weddings/ring-suite/ring_003_003_2206269732.txt,9,3,18,2.0,2.0,2,2,0,0.008159185
./weddings/ring-suite/ring_003_003_2206269732.txt,9,3,18,2.0,2.0,2,2,0,0.014888625
./weddings/ring-suite/ring_003_003_2206269732.txt,9,3,18,2.0,2.0,2,2,0,0.013893218
./weddings/ring-suite/ring_003_003_2206269732.txt,9,3,18,2.0,2.0,2,2,0,0.01544184
./weddings/ring-suite/ring_003_003_2206269732.txt,9,3,18,2.0,2.0,2,2,0,0.007124759
./weddings/ring-suite/ring_003_003_2206269732.txt,9,3,18,2.0,2.0,2,2,0,0.006244414
./weddings/ring-suite/ring_003_003_2206269732.txt,9,3,18,2.0,2.0,2,2,0,0.015597321
./weddings/ring-suite/ring_007_007_2854682354.txt,49,7,64,1.3061224489795917,1.5,0,2,3,1.850585919
./weddings/ring-suite/ring_007_007_2854682354.txt,49,7,60,1.2244897959183674,1.0,0,2,5,1.3203584
./weddings/ring-suite/ring_007_007_2854682354.txt,49,7,64,1.3061224489795917,1.5,0,2,6,1.498888765
./weddings/ring-suite/ring_007_007_2854682354.txt,49,7,60,1.2244897959183674,1.0,0,2,6,0.9553912
./weddings/ring-suite/ring_007_007_2854682354.txt,49,7,64,1.3061224489795917,1.0,0,2,4,1.255621164
./weddings/ring-suite/ring_007_007_2854682354.txt,49,7,62,1.2653061224489797,1.5,0,2,4,1.429666964
./weddings/ring-suite/ring_007_007_2854682354.txt,49,7,60,1.2244897959183674,1.5,0,2,4,1.197173004
./weddings/ring-suite/ring_007_007_2854682354.txt,49,7,62,1.2653061224489797,0.5,0,2,6,1.499573077
