wedding,n_people,n_tables,total_happiness,mean_happiness,median_happiness,min_happiness,max_happiness,n_lonely,seconds
./weddings/tense-suite/tense_010_010_1304449095.txt,100,10,16444,164.44,240.0,-43,336,0,27.009492496
./weddings/tense-suite/tense_012_012_3066074469.txt,144,12,25028,173.80555555555554,232.0,-67,394,0,40.781826148
./weddings/tense-suite/tense_014_014_2346673056.txt,196,14,38748,197.69387755102042,186.5,-39,452,0,103.273345292
./weddings/tense-suite/tense_014_014_446082377.txt,196,14,38884,198.3877551020408,160.5,-55,461,0,106.744202277
./weddings/tense-suite/tense_002_002_2478887628.txt,4,2,-50,-12.5,20.0,-45,20,2,0.002469807
./weddings/tense-suite/tense_002_002_985261421.txt,4,2,88,22.0,63.0,-19,63,2,0.004123291
./weddings/tense-suite/tense_002_002_806126838.txt,4,2,122,30.5,16.0,16,45,0,0.002479844
./weddings/tense-suite/tense_014_014_300255944.txt,196,14,38722,197.5612244897959,206.0,-20,456,0,94.827793867
./weddings/tense-suite/tense_014_014_417563245.txt,196,14,38828,198.10204081632654,80.0,-27,485,0,103.055404678
./weddings/tense-suite/tense_007_007_2207460694.txt,49,7,5356,109.3061224489796,139.0,-35,256,0,1.6990580020000001
./weddings/tense-suite/tense_002_002_2628202402.txt,4,2,118,29.5,59.0,0,59,2,0.001684582
./weddings/tense-suite/tense_012_012_1254133203.txt,144,12,24144,167.66666666666666,234.0,-16,429,0,37.933684627
./weddings/tense-suite/tense_012_012_2226427206.txt,144,12,26214,182.04166666666666,218.5,-41,469,0,47.91128507
./weddings/tense-suite/tense_002_002_1719447147.txt,4,2,40,10.0,12.0,8,12,0,0.002261056
./weddings/tense-suite/tense_014_014_4262927949.txt,196,14,38600,196.9387755102041,421.0,-82,540,0,102.43570844
./weddings/tense-suite/tense_007_007_2919377710.txt,49,7,6388,130.3673469387755,81.0,11,252,0,2.8176918410000003
./weddings/tense-suite/tense_007_007_2428258926.txt,49,7,5990,122.24489795918367,143.0,-26,249,0,2.738413376
./weddings/tense-suite/tense_010_010_770015497.txt,100,10,17308,173.08,187.0,-40,340,0,19.377996956
./weddings/tense-suite/tense_010_010_2963939133.txt,100,10,16076,160.76,53.5,-18,319,0,22.565720379
./weddings/tense-suite/tense_010_010_1079984031.txt,100,10,16746,167.46,239.0,-41,405,0,21.161260762
./weddings/tense-suite/tense_012_012_1342186993.txt,144,12,26566,184.48611111111111,108.5,-80,446,0,53.142385967
./weddings/tense-suite/tense_012_012_1699411975.txt,144,12,26334,182.875,175.0,-84,399,0,40.62479521
./weddings/tense-suite/tense_007_007_770157778.txt,49,7,6210,126.73469387755102,127.5,-12,269,0,2.432229654
./weddings/tense-suite/tense_007_007_971029277.txt,49,7,5704,116.40816326530613,100.5,-29,263,0,1.964911796
./weddings/tense-suite/tense_010_010_749738786.txt,100,10,15704,157.04,268.0,-60,434,0,20.486967027
